                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46659,                0.72717,                 1.1122,                0.59059,                0.83757,                0.73998,                0.35206,                   1.93,                 1.1042,                 3.9981,              0.0032558,              0.0032558,              0.0032558
                      2,                0.47243,                0.71228,                 1.1083,                 0.6033,                0.79325,                0.73289,                0.36433,                 1.8819,                 1.1387,                 3.9371,              0.0065674,              0.0065674,              0.0065674
                      3,                 0.4914,                0.73393,                 1.1184,                0.70322,                0.68749,                0.74658,                0.36775,                 1.9116,                  1.253,                  3.881,               0.009857,               0.009857,               0.009857
                      4,                0.51676,                0.77232,                 1.1356,                0.40427,                0.94554,                0.68002,                0.34388,                 1.8485,                 1.8572,                 3.5609,               0.009901,               0.009901,               0.009901
                      5,                0.53826,                0.78243,                 1.1449,                0.60819,                   0.79,                0.71489,                0.34104,                 1.9003,                 1.1259,                 4.0114,               0.009868,               0.009868,               0.009868
                      6,                0.52779,                0.79598,                 1.1475,                0.60995,                   0.78,                0.75689,                0.37605,                 1.8858,                 1.1445,                  3.748,               0.009835,               0.009835,               0.009835
                      7,                 0.5386,                0.80266,                 1.1541,                0.74429,                0.71017,                0.81312,                0.37441,                 1.9093,                 1.0377,                 3.7115,               0.009802,               0.009802,               0.009802
                      8,                0.53528,                0.79597,                 1.1432,                0.52591,                   0.86,                0.76575,                0.37224,                 1.8502,                 1.2619,                 3.8844,               0.009769,               0.009769,               0.009769
                      9,                0.53634,                0.79311,                 1.1483,                0.56064,                0.80044,                 0.7165,                0.34295,                 1.8979,                  1.254,                 3.9502,               0.009736,               0.009736,               0.009736
                     10,                0.53047,                0.79684,                  1.143,                0.53541,                0.83994,                0.73788,                0.36678,                 1.7938,                 1.2056,                 3.6863,               0.009703,               0.009703,               0.009703
                     11,                0.52285,                0.79554,                 1.1337,                0.63897,                 0.7984,                0.74299,                0.35806,                  1.834,                 1.0937,                 3.7411,                0.00967,                0.00967,                0.00967
